,postcode,easting,northing,Unnamed: 0,price,date,type,seconds,years,QS501EW_0,QS501EW_1,QS501EW_2,QS501EW_3,QS501EW_4,QS501EW_5,QS501EW_6,QS501EW_7,lat,lon,oa
4204,CR0 9LL,536105,162780,20502697,202500,2015-08-28 00:00,F,1440716400.0,2015.0,222.0,40.0,31.0,37.0,5.0,42.0,60.0,7.0,51.34781,-0.047056,E00005314
4205,SL4 5LE,494816,176576,8387620,160000,2002-08-21 00:00,S,1029884400.0,2002.0,253.0,79.0,41.0,42.0,5.0,26.0,54.0,6.0,51.480204,-0.63602,E00083571
4206,NW2 1EF,524110,186824,5524592,160000,2000-02-28 00:00,S,951696000.0,2000.0,264.0,56.0,29.0,28.0,1.0,23.0,86.0,41.0,51.566659,-0.210739,E00001087
4207,CR4 1AA,528947,169557,4407654,90000,1999-03-30 00:00,T,922748400.0,1999.0,318.0,59.0,53.0,46.0,3.0,40.0,76.0,41.0,51.410383,-0.147321,E00017280
4208,GU2 8HU,497624,150532,3348799,82000,1998-08-10 00:00,S,902703600.0,1998.0,187.0,50.0,33.0,29.0,7.0,21.0,25.0,22.0,51.245609,-0.602753,E00155542
4209,SL3 9DX,499174,176470,822190,232000,1996-11-08 00:00,D,847411200.0,1996.0,282.0,37.0,23.0,38.0,12.0,27.0,120.0,25.0,51.478505,-0.573314,E00083641
4210,NW9 5QZ,521988,190037,16215841,280000,2009-11-16 00:00,F,1258329600.0,2009.0,134.0,9.0,6.0,12.0,0.0,16.0,64.0,27.0,51.596033,-0.240251,E00174890
4211,CM6 3GP,566248,220657,13825791,240000,2007-03-28 00:00,T,1175036400.0,2007.0,183.0,15.0,22.0,36.0,2.0,23.0,79.0,6.0,51.859724,0.412824,E00169984
4212,CM6 3GP,566248,220657,15477418,350000,2008-04-30 00:00,S,1209510000.0,2008.0,183.0,15.0,22.0,36.0,2.0,23.0,79.0,6.0,51.859724,0.412824,E00169984
4213,IG1 2PJ,544220,185133,4761326,86000,1999-03-31 00:00,T,922834800.0,1999.0,361.0,91.0,44.0,34.0,3.0,35.0,96.0,58.0,51.546667,0.078489,E00018777
4214,IG1 2PJ,544220,185133,7592437,150000,2002-03-05 00:00,T,1015286400.0,2002.0,361.0,91.0,44.0,34.0,3.0,35.0,96.0,58.0,51.546667,0.078489,E00018777
4215,CM7 1FS,575502,222956,20647983,123000,2015-08-28 00:00,F,1440716400.0,2015.0,303.0,81.0,39.0,42.0,5.0,44.0,66.0,26.0,51.877466,0.548465,E00108533
4216,ME7 1NU,577354,169394,6897814,54000,2001-04-25 00:00,S,988153200.0,2001.0,293.0,56.0,55.0,47.0,13.0,64.0,44.0,14.0,51.395821,0.548467,E00081069
4217,SE1 3GG,533761,178979,21924820,635000,2016-01-08 00:00,F,1452211200.0,2016.0,323.0,16.0,16.0,19.0,1.0,19.0,224.0,28.0,51.494045,-0.074479,E00020028
4218,NW8 0SJ,526041,183910,16720490,242000,2010-06-03 00:00,F,1275519600.0,2010.0,211.0,39.0,30.0,36.0,5.0,16.0,59.0,26.0,51.540026,-0.183967,E00004635
4219,LU4 9DW,506367,223545,3100923,45000,1998-06-19 00:00,S,898210800.0,1998.0,321.0,66.0,61.0,50.0,3.0,26.0,73.0,42.0,51.900307,-0.455442,E00079656
4220,W11 4JD,524411,180421,16705443,647000,2010-07-28 00:00,F,1280271600.0,2010.0,212.0,12.0,12.0,15.0,0.0,28.0,126.0,19.0,51.509031,-0.208703,E00014417
4221,IG9 5NN,541169,193986,17498066,200000,2011-06-22 00:00,F,1308697200.0,2011.0,219.0,17.0,22.0,39.0,8.0,24.0,100.0,9.0,51.626988,0.038076,E00110450
4222,TN9 2PD,558578,145420,20009844,230000,2014-08-08 00:00,T,1407452400.0,2014.0,206.0,24.0,22.0,41.0,4.0,25.0,84.0,6.0,51.18605,0.267704,E00125768
4223,SL1 2PR,497163,179273,8160342,114000,2002-03-08 00:00,S,1015545600.0,2002.0,338.0,72.0,35.0,36.0,6.0,33.0,108.0,48.0,51.504049,-0.601492,E00083151
4224,LU7 4AR,493830,224200,6536701,189950,2001-08-03 00:00,D,996793200.0,2001.0,215.0,8.0,18.0,50.0,9.0,22.0,98.0,10.0,51.908435,-0.637421,E00171408
4225,TN2 3RH,559147,139403,3975862,85000,1999-08-14 00:00,F,934585200.0,1999.0,260.0,48.0,32.0,36.0,6.0,24.0,99.0,15.0,51.131794,0.27315,E00126005
4226,SL1 6PG,493658,181203,17926488,117000,2012-10-26 00:00,F,1351206000.0,2012.0,224.0,16.0,28.0,36.0,7.0,25.0,89.0,23.0,51.521989,-0.651464,E00083286
4227,E18 2PS,539645,190900,6784915,79000,2001-04-27 00:00,F,988326000.0,2001.0,256.0,27.0,25.0,26.0,3.0,32.0,126.0,17.0,51.599638,0.014846,E00018486
4228,E18 2PS,539645,190900,18187700,555000,2012-06-29 00:00,S,1340924400.0,2012.0,256.0,27.0,25.0,26.0,3.0,32.0,126.0,17.0,51.599638,0.014846,E00018486
4229,SL1 3AW,496350,181571,8244754,159950,2002-06-27 00:00,S,1025132400.0,2002.0,392.0,85.0,49.0,38.0,4.0,40.0,79.0,97.0,51.524844,-0.612574,E00083252
4230,IG2 6RD,543705,188683,2979999,90000,1998-09-04 00:00,T,904863600.0,1998.0,322.0,59.0,35.0,40.0,6.0,41.0,111.0,30.0,51.578697,0.072518,E00018386
4231,EN9 3EW,539535,200553,5489119,119000,2000-07-07 00:00,T,962924400.0,2000.0,234.0,58.0,42.0,41.0,12.0,32.0,41.0,8.0,51.686378,0.01706,E00110786
4232,TN9 1DY,559127,146777,17188393,229950,2011-12-09 00:00,S,1323388800.0,2011.0,335.0,76.0,20.0,62.0,5.0,38.0,111.0,23.0,51.198037,0.276123,E00125708
4233,NW6 4JX,525154,184091,704268,43000,1995-04-20 00:00,F,798332400.0,1995.0,429.0,67.0,43.0,35.0,2.0,41.0,175.0,66.0,51.541849,-0.196685,E00004614
4234,RH5 4HN,516878,147481,19858804,380000,2014-12-19 00:00,S,1418947200.0,2014.0,206.0,63.0,51.0,31.0,9.0,16.0,26.0,10.0,51.214579,-0.328,E00155792
4235,E15 3AR,539455,183125,11099196,115000,2004-06-07 00:00,F,1086562800.0,2004.0,276.0,16.0,26.0,28.0,2.0,26.0,138.0,40.0,51.529857,0.00898,E00018324
4236,CR2 6QF,532231,162842,5856041,185000,2000-09-08 00:00,D,968367600.0,2000.0,313.0,29.0,30.0,45.0,5.0,37.0,146.0,21.0,51.349281,-0.102626,E00005132
4237,RH9 8AX,535233,152573,19687795,242500,2014-02-10 00:00,S,1391990400.0,2014.0,221.0,80.0,32.0,42.0,9.0,23.0,28.0,7.0,51.256292,-0.06342,E00157169
4238,DA2 7WQ,551333,172691,13850311,212000,2007-08-24 00:00,F,1187910000.0,2007.0,223.0,33.0,40.0,42.0,5.0,20.0,72.0,11.0,51.433005,0.175691,E00167455
4239,N11 2PE,529746,191530,20390320,700000,2015-11-09 00:00,S,1447027200.0,2015.0,286.0,74.0,25.0,30.0,2.0,26.0,91.0,38.0,51.607702,-0.127832,E00009875
4240,CM7 3LH,577963,223248,13410761,158000,2006-10-31 00:00,S,1162252800.0,2006.0,291.0,37.0,59.0,50.0,9.0,48.0,70.0,18.0,51.879396,0.584087,E00173992
4241,SE9 1SS,542933,175788,2373530,81000,1997-09-30 00:00,T,875574000.0,1997.0,292.0,56.0,48.0,35.0,17.0,27.0,89.0,20.0,51.463068,0.056174,E00007999
4242,CM7 3RX,577398,223121,11979891,192000,2005-11-28 00:00,T,1133136000.0,2005.0,242.0,42.0,47.0,45.0,10.0,30.0,56.0,12.0,51.87841,0.575704,E00173978
4243,SW5 9SL,525323,178751,18316289,555000,2013-10-21 00:00,F,1382310000.0,2013.0,186.0,20.0,19.0,21.0,5.0,24.0,65.0,32.0,51.493822,-0.196147,E00014288
4244,HA7 3QF,516815,191563,6860439,215000,2001-09-24 00:00,F,1001286000.0,2001.0,167.0,33.0,13.0,26.0,3.0,20.0,63.0,9.0,51.610721,-0.314641,E00011122
4245,AL6 0QT,524547,217391,11658449,360000,2005-09-22 00:00,S,1127343600.0,2005.0,277.0,23.0,24.0,57.0,10.0,24.0,136.0,3.0,51.841242,-0.193558,E00121694
4246,AL5 5TQ,514311,213672,16852708,565000,2010-09-29 00:00,S,1285714800.0,2010.0,244.0,23.0,13.0,24.0,4.0,23.0,151.0,6.0,51.810005,-0.343294,E00120345
4247,RM3 0UJ,554570,189852,5142765,143500,2000-08-02 00:00,S,965170800.0,2000.0,252.0,61.0,52.0,48.0,12.0,23.0,45.0,11.0,51.586336,0.229739,E00011343
4248,RM3 0UJ,554570,189852,16015384,237500,2009-11-24 00:00,S,1259020800.0,2009.0,252.0,61.0,52.0,48.0,12.0,23.0,45.0,11.0,51.586336,0.229739,E00011343
4249,EN1 3HX,533029,197374,8421180,224995,2002-12-12 00:00,T,1039651200.0,2002.0,281.0,43.0,44.0,35.0,7.0,31.0,100.0,21.0,51.659406,-0.078177,E00007644
4250,TN4 9QL,557700,140322,1408311,164000,1996-06-26 00:00,D,835743600.0,1996.0,232.0,19.0,12.0,41.0,4.0,17.0,138.0,1.0,51.140442,0.252902,E00125879
4251,TW9 4LB,519160,175956,3555658,150000,1998-08-14 00:00,T,903049200.0,1998.0,225.0,29.0,14.0,25.0,2.0,24.0,115.0,16.0,51.469973,-0.285406,E00019362
4252,SE9 5AX,543169,174220,1215267,39000,1996-06-21 00:00,F,835311600.0,1996.0,193.0,38.0,9.0,29.0,6.0,21.0,79.0,11.0,51.448874,0.058919,E00008024
4253,RM8 2HU,546759,185585,3916705,58500,1999-12-10 00:00,T,944784000.0,1999.0,387.0,92.0,41.0,62.0,2.0,33.0,118.0,39.0,51.550094,0.115168,E00000127
4254,TW5 9JH,511603,177257,20988462,380000,2015-01-09 00:00,S,1420761600.0,2015.0,330.0,80.0,42.0,28.0,4.0,29.0,99.0,48.0,51.483266,-0.394163,E00013099
4255,RH7 6DX,539203,144278,15712531,230000,2009-05-21 00:00,S,1242860400.0,2009.0,241.0,71.0,28.0,41.0,8.0,35.0,54.0,4.0,51.180758,-0.009769,E00157220
4256,RH7 6DX,539203,144278,18532136,225000,2013-01-25 00:00,S,1359072000.0,2013.0,241.0,71.0,28.0,41.0,8.0,35.0,54.0,4.0,51.180758,-0.009769,E00157220
4257,E11 1BW,539080,187484,3209455,53500,1998-08-24 00:00,F,903913200.0,1998.0,310.0,46.0,24.0,39.0,7.0,23.0,119.0,52.0,51.569082,0.005341,E00022318
4258,SL1 9BG,495305,179981,17976213,92000,2012-11-02 00:00,F,1351814400.0,2012.0,241.0,35.0,48.0,37.0,4.0,17.0,67.0,33.0,51.510729,-0.628062,E00083205
4259,NW1 6EJ,527486,182336,8205058,463000,2002-11-29 00:00,F,1038528000.0,2002.0,246.0,15.0,12.0,11.0,0.0,8.0,157.0,43.0,51.525582,-0.163609,E00175210
4260,N13 5SX,531812,193178,11320376,137000,2004-02-19 00:00,F,1077148800.0,2004.0,241.0,58.0,25.0,33.0,11.0,29.0,58.0,27.0,51.621906,-0.097387,E00007420
