,postcode,easting,northing,Unnamed: 0,price,date,type,seconds,years,QS501EW_0,QS501EW_1,QS501EW_2,QS501EW_3,QS501EW_4,QS501EW_5,QS501EW_6,QS501EW_7,lat,lon,oa
1480,LU3 1BQ,508370,222158,16258230,103500,2009-07-29 00:00,T,1248822000.0,2009.0,362.0,102.0,37.0,53.0,3.0,36.0,76.0,55.0,51.887438,-0.426821,E00079411
1481,NW2 4LS,523207,185100,1275455,115000,1996-07-31 00:00,T,838767600.0,1996.0,279.0,47.0,25.0,18.0,4.0,24.0,123.0,38.0,51.551337,-0.224437,E00002478
1482,GU9 0NL,484848,148644,13021989,181500,2006-04-07 00:00,T,1144364400.0,2006.0,254.0,32.0,33.0,40.0,8.0,40.0,95.0,6.0,51.230669,-0.786207,E00157507
1483,TN2 3NU,559737,140232,16418795,225000,2010-10-01 00:00,S,1285887600.0,2010.0,282.0,29.0,45.0,51.0,8.0,29.0,111.0,9.0,51.139078,0.281956,E00125998
1484,N14 4SX,530122,195630,17234607,422000,2011-02-01 00:00,S,1296518400.0,2011.0,260.0,50.0,24.0,29.0,3.0,30.0,105.0,19.0,51.644413,-0.120813,E00007072
1485,NW4 2AW,523856,189068,7466747,177000,2001-10-25 00:00,F,1003964400.0,2001.0,242.0,31.0,17.0,25.0,2.0,39.0,110.0,18.0,51.586797,-0.214004,E00001172
1486,LU5 4BL,502648,221796,6496466,57000,2001-02-16 00:00,F,982281600.0,2001.0,331.0,96.0,54.0,51.0,15.0,25.0,75.0,15.0,51.885257,-0.510025,E00088801
1487,KT2 5UY,517909,169943,1804188,255000,1997-12-04 00:00,T,881193600.0,1997.0,301.0,7.0,16.0,23.0,3.0,26.0,200.0,26.0,51.416252,-0.305825,E00014800
1488,E14 2DG,538954,180813,7868681,249995,2002-11-08 00:00,F,1036713600.0,2002.0,338.0,6.0,9.0,14.0,3.0,13.0,261.0,32.0,51.509168,0.000893,E00167126
1489,W1D 3PU,529647,181082,21345556,24000000,2016-12-16 00:00,O,1481846400.0,2016.0,244.0,32.0,15.0,12.0,3.0,25.0,124.0,33.0,51.513795,-0.13304,E00175194
1490,SW4 9LQ,529428,174430,1931559,211000,1997-01-23 00:00,T,853977600.0,1997.0,278.0,13.0,8.0,19.0,2.0,26.0,200.0,10.0,51.454057,-0.13863,E00015260
1491,W12 9BD,522363,179578,2223298,134950,1997-08-05 00:00,F,870735600.0,1997.0,280.0,39.0,24.0,30.0,9.0,24.0,134.0,20.0,51.501893,-0.238477,E00009307
1492,TW2 5JS,513479,172488,11660318,280000,2005-10-28 00:00,S,1130454000.0,2005.0,270.0,47.0,28.0,42.0,11.0,31.0,101.0,10.0,51.44003,-0.368701,E00019633
1493,CM2 6ST,573101,207010,14524361,189995,2007-08-01 00:00,T,1185922800.0,2007.0,265.0,15.0,46.0,43.0,10.0,41.0,106.0,4.0,51.735096,0.505422,E00109455
1494,KT2 7QY,520506,171624,21314678,940000,2016-10-14 00:00,T,1476399600.0,2016.0,287.0,41.0,11.0,28.0,1.0,36.0,143.0,27.0,51.43075,-0.267799,E00014874
1495,GU6 7DY,506537,139608,16370339,129000,2010-02-08 00:00,F,1265587200.0,2010.0,253.0,58.0,20.0,37.0,9.0,24.0,91.0,14.0,51.145832,-0.478385,E00157404
1496,LU1 4NE,506238,219889,7449996,139950,2001-06-28 00:00,S,993682800.0,2001.0,274.0,62.0,21.0,46.0,14.0,37.0,82.0,12.0,51.867427,-0.458427,E00088654
1497,NW8 7QN,527530,183598,16398658,455000,2010-10-18 00:00,F,1287356400.0,2010.0,214.0,30.0,14.0,20.0,3.0,15.0,100.0,32.0,51.536806,-0.162567,E00004784
1498,CR7 8PG,532488,169265,17382205,228500,2011-07-22 00:00,T,1311289200.0,2011.0,246.0,38.0,35.0,27.0,5.0,37.0,78.0,26.0,51.406943,-0.096545,E00005723
1499,CR0 2SE,531896,166703,4432966,42000,1999-07-02 00:00,F,930870000.0,1999.0,475.0,140.0,81.0,49.0,1.0,39.0,114.0,51.0,51.384057,-0.106003,E00005528
1500,SE5 9QY,531740,176398,5810498,85000,2000-08-10 00:00,F,965862000.0,2000.0,397.0,56.0,42.0,66.0,1.0,37.0,158.0,37.0,51.471219,-0.104642,E00016069
1501,GU5 0EF,501259,144519,18676349,676000,2013-06-28 00:00,D,1372374000.0,2013.0,249.0,20.0,23.0,30.0,5.0,21.0,143.0,7.0,51.190925,-0.552403,E00157379
